Year,Crop,Livestock
2010,17.73588752741635,19.0847973062613
2011,13.03576911754817,25.81676391388427
2012,14.27432501289991,23.934770157243204
2013,15.748182606581878,26.212985624646375
2014,12.911002475102999,25.31454535653968
2015,14.790699073164891,22.572427796299948
2016,13.079794660931045,26.669872305513984
2017,13.77051935801845,23.212683830955864
2018,13.398880860034211,22.463674815984465
2019,11.835641527197419,23.33766945132483
2020,11.543294547587166,24.701957583541773
2021,11.751126778333328,26.986496389965506
2022,10.835910591854935,26.49155312140189
2023,11.58734158788445,24.76179992124386
2024,12.239675629204957,28.112106984386898
2025,11.911874973142824,23.875210617245624
2026,11.885970383281867,25.3055636262821
2027,10.247748120882212,27.942981612647767
2028,11.456650730113996,26.61256883115775
2029,10.316614046089342,26.141847538318416
2030,10.866480685079633,25.290274229836207
2031,10.581923963394674,27.14050029137034
2032,10.225736639368323,27.353389269299093
2033,11.016115239423963,26.536594508941267
2034,9.638865208412183,26.971962682671684
2035,10.292215803441751,28.223114413918534
2036,10.772838021901768,27.096068683659244
2037,10.079616832453523,24.582331388145047
2038,9.831505678868183,25.29172092658623
2039,10.715038474977513,27.083528367187405
2040,9.752558440263327,26.989299843776607
2041,10.003322576642582,28.070636009368975
2042,9.52523691374444,24.58294470136181
2043,9.771606839063756,27.291958582688725
2044,9.691524395403448,29.95782270386863
2045,8.880876233899366,26.33036158877931
2046,8.335383977087119,28.34717692697593
2047,10.30723168484207,28.977205120384983
2048,9.774310075768861,26.318308446497007
2049,9.783248167500343,26.389940839505133
2050,9.717314505560038,27.94278877838526
