Year,Land use category,Land use,Irrigation,Sources,GHG sequestration (Mt CO2e)
2010,Crop,Citrus,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Plantation fruit,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Stone fruit,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Summer oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2010,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2010,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2010,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2011,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2011,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2011,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2011,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2012,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2012,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2012,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2012,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2013,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2013,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2013,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2013,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2014,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2014,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2014,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2014,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2015,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2015,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2015,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2015,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2016,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Summer legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2016,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2016,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2016,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2017,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Stone fruit,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2017,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2017,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2017,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2018,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2018,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2018,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2018,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
2019,Crop,Cotton,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Grapes,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Hay,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Nuts,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Other non-cereal crops,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Rice,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Sugar,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Summer cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Vegetables,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Winter cereals,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Winter legumes,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Crop,Winter oilseeds,dry,TCO2E_Asparagopsis taxiformis,0.0
2019,Livestock,Beef,dry,TCO2E_Asparagopsis taxiformis,
2019,Livestock,Dairy,dry,TCO2E_Asparagopsis taxiformis,
2019,Livestock,Sheep,dry,TCO2E_Asparagopsis taxiformis,
